TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.025 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.034 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 0.791 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.034 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.737 secs
TIME("writing propagator","done") = 0.051 secs
TIME("invert","done") = 1.086 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.699 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 1.077 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.798 secs
TIME("writing propagator","done") = 0.016 secs
TIME("invert","done") = 0.881 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 0.871 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.972 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 0.803 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.916 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.904 secs
